params,mean_test_accuracy,std_test_accuracy,mean_test_recall,std_test_recall,mean_test_specificity,std_test_specificity,mean_test_mcc,std_test_mcc,mean_test_gm,std_test_gm,mean_test_uar,std_test_uar,mean_test_bm,std_test_bm
"{'classifier__C': 1, 'classifier__gamma': 0.075, 'classifier__kernel': 'rbf'}",0.801553,0.054039,0.771768,0.063648,0.852769,0.091685,0.606267,0.110224,0.809494,0.057256,0.812268,0.057655,0.624537,0.115309
"{'classifier__C': 1, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.795776,0.05451,0.762727,0.062668,0.852615,0.100106,0.597033,0.114042,0.804361,0.059079,0.807671,0.059781,0.615343,0.119562
"{'classifier__C': 1, 'classifier__gamma': 0.025, 'classifier__kernel': 'rbf'}",0.781408,0.054719,0.735707,0.068052,0.860615,0.082918,0.576885,0.10751,0.794058,0.056268,0.798161,0.056062,0.596322,0.112125
"{'classifier__C': 1, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.749648,0.046123,0.683586,0.068084,0.864769,0.057582,0.529995,0.080686,0.767342,0.044998,0.774178,0.042836,0.548355,0.085671
"{'classifier__C': 1, 'classifier__gamma': 0.0075, 'classifier__kernel': 'rbf'}",0.730973,0.041133,0.652172,0.061172,0.868769,0.051201,0.504211,0.072028,0.751459,0.039986,0.76047,0.03798,0.520941,0.075959
"{'classifier__C': 1, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.722381,0.039722,0.634091,0.066604,0.876769,0.049166,0.496147,0.063326,0.743892,0.038784,0.75543,0.034316,0.51086,0.068631
"{'classifier__C': 1, 'classifier__gamma': 0.0025, 'classifier__kernel': 'rbf'}",0.68648,0.058618,0.552929,0.103504,0.920462,0.050727,0.472707,0.076548,0.708968,0.061487,0.736695,0.045331,0.473391,0.090662
"{'classifier__C': 1, 'classifier__gamma': 0.001, 'classifier__kernel': 'rbf'}",0.505114,0.067226,0.227778,0.111081,0.992,0.016,0.29218,0.087855,0.457043,0.127367,0.609889,0.052216,0.219778,0.104432
"{'classifier__C': 1, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.745362,0.044993,0.676919,0.063064,0.864769,0.057582,0.523272,0.081115,0.763823,0.044609,0.770844,0.042916,0.541688,0.085831
"{'classifier__C': 2.5, 'classifier__gamma': 0.5, 'classifier__kernel': 'rbf'}",0.828903,0.043534,0.848737,0.039461,0.793077,0.113495,0.637328,0.102132,0.817884,0.057332,0.820907,0.056245,0.641814,0.112491
